State,District,Latitude,Longitude,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,ST,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Rural_Households,Urban_Households,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Sex Ratio,Literacy Rate,Male Literacy Rate,Female Literacy Rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,2741239,1369597,1371642,1483347,856350,626997,488596,495794,2399901,275970,15422,1377,25510,617,322,22120,597466,220248,344167,281752,225957,143143,100226,1536378,704551,422522,77788,27018,80780,107798,103066,417387,182282,100,54,63,46
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,4081148,2064495,2016653,2310960,1338474,972486,583135,154127,3599372,443456,20463,932,341,1417,309,14858,902997,341431,720357,582075,331793,162175,144915,2189396,1104565,739612,47575,36633,106460,143093,156107,644263,291388,102,57,65,48
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,4174064,2090204,2083860,2667878,1484794,1183084,785760,159165,3737588,397870,24129,867,253,1322,358,11677,907970,395900,770836,673197,548336,265199,246409,2148179,1159053,807430,59402,55151,132169,187320,175853,678054,311451,100,64,71,57
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,5154296,2569688,2584608,3288577,1716933,1571644,945269,213195,4983330,77777,77825,738,413,4149,403,9661,1199479,406362,947606,797497,521562,271809,263023,2724328,1478954,948122,2892,95856,239150,335006,275218,952492,468704,99,64,67,61
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,4887813,2440521,2447292,2960441,1634726,1325715,957407,247089,4217597,559770,89763,764,323,3282,332,15982,1069877,513113,845810,674957,453446,246580,221924,2583462,1371811,928462,4078,83026,212589,295615,229537,842985,413160,100,61,67,54
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,3943323,2018575,1924748,2892155,1542688,1349467,247927,48937,2046051,1713405,87522,11446,1268,19560,1929,62142,0,1066289,596591,685215,811501,517425,558090,2249130,1068243,542669,83281,20495,90415,110910,135609,546260,236179,105,73,76,70
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,3776269,1880800,1895469,2206829,1257238,949591,709757,106745,3491139,244723,24979,2086,332,312,115,12583,877236,288044,453505,482842,463403,293493,256633,1940234,1031735,728494,75806,55169,146503,201672,166249,649211,306232,99,58,67,50
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,2797370,1390988,1406382,1630234,901640,728594,462896,765565,2595321,158887,33463,655,217,459,539,7829,669262,201363,346118,329630,238811,154774,160804,1530602,774583,477955,14230,39441,120442,159883,144836,512966,254089,99,58,65,52
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,4517398,2267375,2250023,3009718,1598959,1410759,871063,132464,4023678,307043,145598,1393,863,6320,906,31597,909292,567042,692968,630603,531821,312753,328454,2340943,1284630,833959,57866,81004,218150,299154,235751,824868,417156,101,67,71,63
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,4053463,2039227,2014236,2127161,1246369,880792,737945,82831,3328380,670737,33165,737,255,2235,434,17520,783853,306982,672951,466940,271828,152453,115504,2368684,1053618,609027,22134,29425,86663,116088,120568,547505,238908,101,52,61,44
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,4053028,2050386,2002642,1940646,1158386,782260,708954,364269,3673456,334172,21345,658,290,388,267,22452,848963,161052,596134,441585,308575,169083,98227,2360874,1027525,637430,27199,25689,79590,105279,120964,541398,225428,102,48,56,39
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,3033288,1523030,1510258,1637137,953406,683731,537947,168985,2637313,342449,34301,1309,554,457,217,16688,593653,195479,503713,481984,373729,201928,127493,1735769,779738,509368,8413,19664,65211,84875,96457,419073,178179,101,54,63,45
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,3488809,1759772,1729037,2001019,1160757,840262,637385,394279,3249231,188646,35025,937,241,250,132,14347,833504,197433,518669,471233,367424,238695,196134,1932349,897137,651748,7575,45165,120169,165334,144858,578886,270974,102,57,66,49
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,2551335,1250641,1300694,1389810,790214,599596,371074,192941,2123426,391596,19653,2357,1847,542,146,11768,565165,155133,421399,338668,396396,223365,141850,1399773,676401,437573,37588,23207,67384,90591,94217,379595,163189,96,54,63,46
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,3397448,1714764,1682684,1904435,1107686,796749,787861,151145,3150195,220654,18775,266,97,204,206,7051,873486,214089,495556,368919,249034,142026,133627,1832695,917391,641707,5655,51012,130198,181210,144923,548015,251635,102,56,65,47
