,State,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,ST,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Rural_Households,Urban_Households,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Longitude,Latitude
0,Andhra Pradesh,69147421,34657477,34489944,40901528,22872960,18028568,11764168,4718933,61229003,6636078,858657,28836,33457,44636,7241,309513,14743406,6073322,10751280,9323726,7377133,4251863,3774645,37445748,18812930,12316688,572055,875935,2374284,3250219,2923281,11268474,5274920,79.91620298244129,16.554124203986422
1,Arunachal Pradesh,1354556,697991,656565,751579,430731,320848,0,929669,385647,26279,418238,3007,162045,757,352149,6434,262466,103811,199117,174165,122956,89127,59440,885713,331001,136393,1449,14571,20859,35430,30237,115082,42586,94.54532681056138,27.725765415186213
2,Assam,23415900,11959534,11456366,14457500,7974028,6483472,1748550,2688192,14409242,8021766,858621,15059,45291,13765,16117,36039,5748615,937571,4933981,4898560,2019838,1287109,702117,14335910,5966199,3101941,11850,141384,359331,500715,687090,2650366,1039693,92.65731035572504,26.321340891915742
3,Bihar,105473507,54992123,50481384,53701763,32253757,21448006,16596291,1421368,86533796,18124944,143441,28566,326516,49692,12848,253704,20805654,3103416,17095980,10419357,7874090,4775636,3501211,67658569,23349391,14063137,402410,421105,1826497,2247602,2057404,8610298,3068648,85.6367740131486,25.771393543753963
4,Chandigarh,1055450,580663,474787,805438,465346,340092,199086,0,852574,51447,8720,138329,1160,1960,246,1014,8911,289456,118667,114209,124707,98786,174528,602411,303748,148945,346,15220,24396,39616,36024,144460,64040,76.75872466,30.7426
5,Chhattisgarh,22904359,11543127,11361232,14374537,8157295,6217242,2774241,6241912,21142685,684550,486927,73407,158556,61180,271599,25455,4664806,1792868,3669446,3064773,1989124,1519426,1137138,13417029,5939449,3517713,30168,278827,643817,922644,712485,2772204,1077777,82.12509333594427,21.555738582984045
6,Dadra and Nagar Haveli,343709,193760,149949,223230,142521,80709,6186,178564,322857,12922,5113,217,634,1186,293,487,48221,60562,69140,32004,37809,22700,19655,225103,87888,30346,372,4312,9524,13836,11879,39654,15845,73.09454961,20.21513217
7,Daman and Diu,2934255,1529015,1405240,1993166,1151297,841869,270055,70811,2568593,350945,5204,1279,1507,4085,156,2486,499243,348579,728352,325217,338840,151675,149085,1650477,802024,477078,4676,18880,50914,69794,65891,307257,124986,72.41121190648654,20.494569789560284
8,Goa,1458545,739140,719405,1165487,615823,549664,25449,149275,963877,121564,366130,1473,1095,1109,258,3039,204479,372103,174560,268661,262876,152299,144241,695406,455405,305640,2094,16981,36343,53324,59871,204735,87311,73.8660162584672,15.39350404299338
9,Gujarat,57505584,30020421,27485163,39596151,22606831,16989320,4024835,6657004,50762855,5758099,253341,57514,28747,574495,15958,54575,8777271,8151766,13961342,5730718,7102295,3345926,3311358,32546254,15589108,9141961,228261,433320,1079249,1512569,1432823,6362370,2609811,72.19574738883901,22.37440584958047
10,Haryana,20555285,10941058,9614227,13713522,8041262,5672260,4258563,0,18747862,526460,43135,1150250,6156,42657,2369,36396,3572576,2267481,2841283,2473516,2688628,1799628,1626066,11981656,5314335,3230616,28678,90266,243762,334028,424432,2223813,937780,76.52123742961845,29.19561627638388
11,Himachal Pradesh,10632516,5426984,5205532,7289595,4093189,3196406,2523442,891069,10083542,299123,34205,86465,81712,4203,30251,13015,3418324,564526,1763214,1531308,1459573,988856,619577,5935130,2820411,1861779,15196,128842,233710,362552,299800,1267142,522691,76.85561813540754,31.649468875492705
12,Jammu and Kashmir,8483305,4492917,3990388,4988613,2980694,2007919,717586,772067,2686222,5543603,26429,188159,21411,2275,653,14553,1607466,772853,1033081,1218118,1043440,631073,482610,5147190,2122046,1203744,10325,21789,71069,92858,131181,671443,258955,75.00063061643166,33.651699000229414
13,Jharkhand,24194739,12440949,11753790,13195246,7871723,5323523,3218138,5885718,16777441,3957880,1130680,23400,7071,9839,2235993,52435,4242806,1340976,4188733,3203750,1949953,1171370,797634,15196641,5603906,3282896,111296,111418,363082,474500,494575,2177917,804879,85.85996246441698,23.76750554674568
14,Karnataka,43669356,22024684,21644672,27940474,15598061,12342413,7972976,3699929,37246957,5491847,382631,13643,65548,339070,13086,116574,8650294,3669758,9262047,5103059,5375540,2969123,2181311,24270269,11663699,7707256,28132,345227,799740,1144967,1268408,5371672,2297328,76.29962467945006,14.369817089467844
